business_id,name,latitude,longitude,stars,review_count,is_open,cuisine
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,53.5446819,-113.506589,4.0,12,1,other
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,53.547205,-113.522448,4.0,23,1,other
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,53.5599789914,-113.6162690363,3.5,6,1,other
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,53.436403,-113.604288,4.0,10,1,american
JwBTq6IOFH97b9Hr6RT7pw,Reinette Café & Patisserie,53.5225968429,-113.61922974,3.0,5,1,other
QU6xxKwHXR6xQ5oi2yIKLw,Bulk Barn,53.517033,-113.496687,4.0,33,1,other
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,53.5417173,-113.4919398,3.5,9,1,vietnamese
bf34LpGej_MZbOlAKB1beQ,Sherbrooke Liquor Store,53.5710863856,-113.548768193,4.5,77,1,other
lPPYZr1_jx0XeW-xR9WJtw,DOSC,53.5428720873,-113.4995122836,4.0,87,1,spanish
Iipfa9Kaac9XH5Vo8GQwvg,Starbucks,53.6161467,-113.4324244,3.5,10,1,other
jZoeTGRfhG9n_Jo6VMqwxw,Sushi Wasabi,53.4945772799,-113.517946463,4.0,57,1,japanese
2qhuQ-tnonyLEQLw2cbvAg,Tim Hortons,53.6301604595,-113.5449765623,3.0,9,1,other
RuBWR6CAgVi7iWR8LHUi6A,Lee House,53.551925,-113.4896661,4.0,30,1,korean
qS4CaO_u_vMrTl31XJto1A,Szechuan Paramount Restaurant,53.5878652,-113.4915257,3.0,25,1,chinese
8mElCveTpsBGuu9zOdLXbQ,Dream Tea House,53.5230582,-113.623717,4.0,30,1,other
Ojd913yxClnEwQSthSd8XQ,BarBurrito - South Edmonton,53.4531516,-113.48298,3.5,8,1,mexican
QehLpDI-ZdJJLu5dobDdxg,Mundare Sausage House,53.570634,-113.416455,4.0,7,1,other
_v8Ccd70N6uXw8muQeyhOA,Moxie's Grill & Bar,53.5978212,-113.5706935,3.5,52,1,american
CyGxCUdTRGUPKGOgzC6Zug,Hudsons Canada's Pub,53.5178491,-113.4951883,3.5,54,1,american
